Ring0,Ring1,Ring2,Ring3,Ring4,Ring5,Color,size,color,color1,color2,color3,color4,color5,description,description1,description2,description3,description4,description5,state,state1,state2,state3,state4,state5,level,level1,level2,level3,level4,level5,friendlyname,friendlyname1,friendlyname2,friendlyname3,friendlyname4,friendlyname5,hyperlink,hyperlink1,hyperlink2,hyperlink3,hyperlink4,hyperlink5,metadata,metadata1,metadata2,metadata3,metadata4,metadata5
MS,SuiteScript,Project Intercompany Cross Charge Request,Project Intercompany Cross Charge Request,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteScript,Project Intercompany Cross Charge Request,Project Intercompany Cross Charge Request,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3949604.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_164458068956.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_164458068956.html,,,,,,,,
MS,SuiteTalk Web Services Integration,Fully Supported Record Types for REST Web Services in 2022.1,Fully Supported Record Types for REST Web Services in 2022.1,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteTalk Web Services Integration,Fully Supported Record Types for REST Web Services in 2022.1,Fully Supported Record Types for REST Web Services in 2022.1,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html#subsect_163758275356,,,,,,,,
MS,SuiteTalk Web Services Integration,Fully Supported Record Types for REST Web Services in 2022.1,Asynchronous Request Execution Is Generally Available,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteTalk Web Services Integration,Fully Supported Record Types for REST Web Services in 2022.1,Asynchronous Request Execution Is Generally Available,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html#subsect_163758301314,,,,,,,,
MS,SuiteTalk Web Services Integration,Fully Supported Record Types for REST Web Services in 2022.1,SOAP Web Services Version 2022.1,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteTalk Web Services Integration,Fully Supported Record Types for REST Web Services in 2022.1,SOAP Web Services Version 2022.1,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html#subsect_163706286576,,,,,,,,
MS,SuiteTalk Web Services Integration,Fully Supported Record Types for REST Web Services in 2022.1,Araxis Merge Diff File for the 2022.1 Endpoint,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteTalk Web Services Integration,Fully Supported Record Types for REST Web Services in 2022.1,Araxis Merge Diff File for the 2022.1 Endpoint,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html#subsect_163706303551,,,,,,,,
MS,SuiteTalk Web Services Integration,Fully Supported Record Types for REST Web Services in 2022.1,2022.1 SOAP Schema Browser,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteTalk Web Services Integration,Fully Supported Record Types for REST Web Services in 2022.1,2022.1 SOAP Schema Browser,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html#subsect_163706317961,,,,,,,,
MS,SuiteTalk Web Services Integration,Assembly Item,Record ID,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteTalk Web Services Integration,Assembly Item,Record ID,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_164614354019.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_164614354019.html#subsect_164622419578,,,,,,,,
MS,SuiteTalk Web Services Integration,Assembly Item,Prerequisites,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteTalk Web Services Integration,Assembly Item,Prerequisites,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_164614354019.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_164614354019.html#subsect_164622421171,,,,,,,,
MS,SuiteTalk Web Services Integration,Assembly Item,Inaccessible Elements,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteTalk Web Services Integration,Assembly Item,Inaccessible Elements,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_164614354019.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_164614354019.html#subsect_164622422927,,,,,,,,
MS,SuiteTalk Web Services Integration,Assembly Item,Elements with Different Functionality,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteTalk Web Services Integration,Assembly Item,Elements with Different Functionality,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3950559.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_164614354019.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_164614354019.html#subsect_164622425233,,,,,,,,
